player_name                     ,career_kills ,career_wins ,career_revives ,legend     ,BR Kills ,BR Damage ,BR Wins
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Global     ,       0 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Revenant   ,      61 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Crypto     ,      21 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Horizon    ,    1682 ,   424562 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Gibraltar  ,     500 ,   122994 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Wattson    ,      69 ,    19645 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Fuse       ,      60 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Bangalore  ,    1946 ,   504858 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Wraith     ,     556 ,   140090 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Octane     ,     352 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Bloodhound ,     287 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Caustic    ,     255 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Lifeline   ,    1290 ,   297304 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Pathfinder ,  361082 , 77505417 ,  20567
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Loba       ,     244 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Mirage     ,     859 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Rampart    ,      77 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Valkyrie   ,     146 ,    38324 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Seer       ,       8 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Ash        ,       0 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Mad Maggie ,       0 ,       93 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Newcastle  ,     132 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Vantage    ,     157 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Catalyst   ,       0 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Ballistic  ,       0 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Conduit    ,       0 ,        0 ,      0
MaddBrooo                       ,      371099 ,      21010 ,         29752 ,Alter      ,       0 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Global     ,       0 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Revenant   ,     391 ,    91127 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Crypto     ,       0 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Horizon    ,   10128 ,  1057173 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Gibraltar  ,    1184 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Wattson    ,    2134 ,   440037 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Fuse       ,     103 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Bangalore  ,    1901 ,   423977 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Wraith     ,  109489 , 24623782 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Octane     ,    1055 ,   235130 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Bloodhound ,     681 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Caustic    ,       0 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Lifeline   ,  132796 , 29218393 ,   3049
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Pathfinder ,    6117 ,  1258468 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Loba       ,   25113 ,  5427295 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Mirage     ,     668 ,   143108 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Rampart    ,     275 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Valkyrie   ,   28930 ,  6342048 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Seer       ,       0 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Ash        ,       0 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Mad Maggie ,       5 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Newcastle  ,      18 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Vantage    ,     124 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Catalyst   ,     299 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Ballistic  ,       0 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Conduit    ,   21936 ,        0 ,      0
AmaneeMisa                      ,      352185 ,          0 ,             0 ,Alter      ,       0 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Global     ,       0 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Revenant   ,      88 ,    18184 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Crypto     ,       0 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Horizon    ,  313593 , 62824568 ,  12051
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Gibraltar  ,     168 ,    53666 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Wattson    ,      91 ,    24084 ,      1
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Fuse       ,     120 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Bangalore  ,    2641 ,   719486 ,    116
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Wraith     ,    2319 ,   647255 ,     87
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Octane     ,    1232 ,   313438 ,     46
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Bloodhound ,     202 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Caustic    ,     111 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Lifeline   ,     721 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Pathfinder ,     158 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Loba       ,     585 ,        0 ,      0
xoKaiz                          ,      336733 ,      12109 ,         16433 ,Mirage     ,     132 ,        0 ,      2
